game,league,date,slug,g1_winner,g2_winner,series_winner,struct,prematch_price_available
DOTA,ACL X ESL Challenger China Playoffs,2026-05-01,dota2-cloudd-ref-2026-05-01,Cloud Dawning,Cloud Dawning,Cloud Dawning,2:0 横扫,否（无赛前价存档）
DOTA,ACL X ESL Challenger China Playoffs,2026-05-02,dota2-yb1-cloudd-2026-05-02,Yakult Brothers,Yakult Brothers,Yakult Brothers,2:0 横扫,否（无赛前价存档）
DOTA,ACL X ESL Challenger China Playoffs,2026-05-02,dota2-xtreme-tr7-2026-05-02,Team Resilience,Team Resilience,Team Resilience,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-02,dota2-modus-aim-2026-05-02,MODUS,Aim Possible,Aim Possible,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-02,dota2-ill-dgs-2026-05-02,Ilbirs eSports,Ilbirs eSports,Ilbirs eSports,2:0 横扫,否（无赛前价存档）
DOTA,ACL X ESL Challenger China Playoffs,2026-05-02,dota2-vg-roar-2026-05-02,Vici Gaming,Vici Gaming,Vici Gaming,2:0 横扫,否（无赛前价存档）
DOTA,ACL X ESL Challenger China Playoffs,2026-05-02,dota2-vg-yb1-2026-05-02,Vici Gaming,Yakult Brothers,Vici Gaming,2:1 打满,否（无赛前价存档）
DOTA,ACL X ESL Challenger China Playoffs,2026-05-03,dota2-xtreme-vg-2026-05-03,Xtreme Gaming,Vici Gaming,Vici Gaming,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-05-03,dota2-ic-pr1-2026-05-03,Inner Circle,Power Rangers,Power Rangers,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-05-03,dota2-enjoyb-stels-2026-05-03,enjoy boys,Team Stels,Team Stels,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group B,2026-05-04,dota2-z10-rnx-2026-05-04,Zero Tenacity,REKONIX,Zero Tenacity,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group A,2026-05-04,dota2-nemiga-mouz-2026-05-04,MOUZ,MOUZ,MOUZ,2:0 横扫,否（无赛前价存档）
DOTA,1win Essence Group A,2026-05-04,dota2-1win-playti-2026-05-04,1win,PlayTime,PlayTime,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group B,2026-05-04,dota2-nem-ngx-2026-05-04,Nigma Galaxy,Nigma Galaxy,Nigma Galaxy,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-03,dota2-aim-nem-2026-05-03,Aim Possible,Aim Possible,Aim Possible,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-04,dota2-ill-nem-2026-05-04,Team Nemesis,Ilbirs eSports,Team Nemesis,2:1 打满,否（无赛前价存档）
DOTA,European Pro League Group A,2026-05-04,dota2-re-pr1-2026-05-04,Power Rangers,Power Rangers,Power Rangers,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-04,dota2-satan-carst-2026-05-04,Carstensz,Carstensz,Carstensz,2:0 横扫,否（无赛前价存档）
DOTA,1win Essence Group B,2026-05-05,dota2-nem-rnx-2026-05-05,Team Nemesis,REKONIX,REKONIX,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group B,2026-05-05,dota2-nem-l1ga-2026-05-05,Team Nemesis,L1ga Team,L1ga Team,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group A,2026-05-05,dota2-yes-nemiga-2026-05-05,Yellow Submarine,Nemiga Gaming,Yellow Submarine,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group A,2026-05-05,dota2-mouz-1win-2026-05-05,1win,1win,1win,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-05,dota2-grind-glyph-2026-05-05,Grind Back,GLYPH,Grind Back,2:1 打满,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-04,dota2-iac-carst-2026-05-04,Carstensz,Carstensz,Carstensz,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-05,dota2-ill-lynx-2026-05-05,Team Lynx,Team Lynx,Team Lynx,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-05,dota2-winter-5sm-2026-05-05,WinteR SquadronS,WinteR SquadronS,WinteR SquadronS,2:0 横扫,否（无赛前价存档）
DOTA,1win Essence Group A,2026-05-06,dota2-mouz-playti-2026-05-06,MOUZ,PlayTime,PlayTime,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group B,2026-05-06,dota2-l1ga-ngx-2026-05-06,Nigma Galaxy,Nigma Galaxy,Nigma Galaxy,2:0 横扫,否（无赛前价存档）
DOTA,1win Essence Group B,2026-05-06,dota2-nem-z10-2026-05-06,Team Nemesis,Zero Tenacity,Team Nemesis,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Group A,2026-05-06,dota2-yes-1win-2026-05-06,Yellow Submarine,Yellow Submarine,Yellow Submarine,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-05,dota2-aim-lynx-2026-05-05,Aim Possible,Aim Possible,Aim Possible,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-06,dota2-glyph-5sm-2026-05-06,GLYPH,GLYPH,GLYPH,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-06,dota2-dfam-grind-2026-05-06,Grind Back,D family,Grind Back,2:1 打满,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-05,dota2-5sm-iac-2026-05-05,InterActive Philippines,InterActive Philippines,InterActive Philippines,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-06,dota2-5sm-dfam-2026-05-06,D family,D family,D family,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-07,dota2-glyph-carst-2026-05-07,GLYPH,GLYPH,GLYPH,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-07,dota2-ill-tm6-2026-05-07,Two Move,Two Move,Two Move,2:0 横扫,否（无赛前价存档）
DOTA,EPL World Series Southeast Asia Group Stage,2026-05-07,dota2-satan-grind-2026-05-07,Grind Back,Grind Back,Grind Back,2:0 横扫,否（无赛前价存档）
DOTA,European Pro League Group B,2026-05-07,dota2-lynx-modus-2026-05-07,MODUS,MODUS,MODUS,2:0 横扫,否（无赛前价存档）
DOTA,1win Essence Decider Stage,2026-05-07,dota2-1win-nem-2026-05-07,Team Nemesis,1win,1win,2:1 打满,否（无赛前价存档）
DOTA,1win Essence Decider Stage,2026-05-07,dota2-l1ga-mouz-2026-05-07,L1ga Team,MOUZ,L1ga Team,2:1 打满,否（无赛前价存档）
